"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3907","Get the text of all menu items & assert them - using wait commands","","Wed Feb 26 12:54:48 CST 2025","passed","Wed Feb 26 12:54:52 CST 2025","","Navigation Menu","",""
"","1487","Click get started botton & assert URL","","Wed Feb 26 11:47:07 CST 2025","passed","Wed Feb 26 11:47:08 CST 2025","","Home","",""
"","5144","Get the text of all menu items & assert them - using wait commands","","Wed Feb 26 11:46:49 CST 2025","passed","Wed Feb 26 11:46:54 CST 2025","","Navidation Menu","",""
"","2290","Click get started botton & assert URL","","Wed Feb 26 11:46:54 CST 2025","passed","Wed Feb 26 11:46:57 CST 2025","","Home","",""
"","10173","Open About Page & assert URL","","Wed Feb 26 12:54:48 CST 2025","passed","Wed Feb 26 12:54:58 CST 2025","","Home","",""
"","10965","Fill the form, submint & assert success message","","Wed Feb 26 12:54:29 CST 2025","passed","Wed Feb 26 12:54:40 CST 2025","","Fill form and submit","",""
"","810","Find heading element & assert the text","","Wed Feb 26 11:47:10 CST 2025","passed","Wed Feb 26 11:47:10 CST 2025","","Home","",""
"","991","Assert the text lenght of each list item > 10 characteres","","Wed Feb 26 12:54:41 CST 2025","passed","Wed Feb 26 12:54:42 CST 2025","","Blog page","",""
"","2925","Open About Page & assert URL","","Wed Feb 26 12:55:10 CST 2025","passed","Wed Feb 26 12:55:13 CST 2025","","Home","",""
"","1470","Find heading element & assert the text","","Wed Feb 26 12:55:20 CST 2025","passed","Wed Feb 26 12:55:22 CST 2025","","Home","",""
"","6","Assert the total count of rows","","Wed Feb 26 11:29:12 CST 2025","passed","Wed Feb 26 11:29:12 CST 2025","","Blog page","",""
"","15911","Click logo botton & assert URL DOES NOT contains get-started text","","Wed Feb 26 12:55:05 CST 2025","passed","Wed Feb 26 12:55:20 CST 2025","","Home","",""
"","2347","Open About Page & assert URL","","Wed Feb 26 11:47:04 CST 2025","passed","Wed Feb 26 11:47:07 CST 2025","","Home","",""
"","8546","Get title","","Wed Feb 26 11:47:02 CST 2025","passed","Wed Feb 26 11:47:10 CST 2025","","Home","",""
"","4221","Get the list of all Recent Post","","Wed Feb 26 11:29:07 CST 2025","passed","Wed Feb 26 11:29:11 CST 2025","","Blog page","",""
"","2758","Click logo botton & assert URL DOES NOT contains get-started text","","Wed Feb 26 12:55:16 CST 2025","passed","Wed Feb 26 12:55:19 CST 2025","","Home","",""
"","7541","Get title","","Wed Feb 26 12:54:40 CST 2025","passed","Wed Feb 26 12:54:48 CST 2025","","Home","",""
"","236","Assert the total count of rows","","Wed Feb 26 12:54:33 CST 2025","passed","Wed Feb 26 12:54:33 CST 2025","","Blog page","",""
"","3189","Click get started botton & assert URL","","Wed Feb 26 12:55:13 CST 2025","passed","Wed Feb 26 12:55:16 CST 2025","","Home","",""
"","19503","Fill the form, submint & assert success message","","Wed Feb 26 12:02:21 CST 2025","failed","Wed Feb 26 12:02:41 CST 2025","","Fill form and submit","",""
"","1484","Click logo botton & assert URL DOES NOT contains get-started text","","Wed Feb 26 11:47:08 CST 2025","passed","Wed Feb 26 11:47:10 CST 2025","","Home","",""
"","1709","Click logo botton & assert URL DOES NOT contains get-started text","","Wed Feb 26 11:46:57 CST 2025","passed","Wed Feb 26 11:46:58 CST 2025","","Home","",""
"","3632","Get the text of all menu items & assert them - using wait commands","","Wed Feb 26 12:55:52 CST 2025","passed","Wed Feb 26 12:55:56 CST 2025","","Navigation Menu","",""
"","7670","Get the text of all menu items & assert them - using wait commands","","Wed Feb 26 11:46:41 CST 2025","passed","Wed Feb 26 11:46:49 CST 2025","","Navidation Menu","",""
"","21689","Fill the form, submint & assert success message","","Wed Feb 26 12:02:21 CST 2025","failed","Wed Feb 26 12:02:43 CST 2025","","Fill form and submit","",""
"","2406","Get title","","Wed Feb 26 12:55:07 CST 2025","passed","Wed Feb 26 12:55:10 CST 2025","","Home","",""
"","976","Assert the text lenght of each list item > 10 characteres","","Wed Feb 26 12:54:32 CST 2025","passed","Wed Feb 26 12:54:33 CST 2025","","Blog page","",""
"","2164","Get the list of all Recent Post","","Wed Feb 26 12:54:38 CST 2025","passed","Wed Feb 26 12:54:41 CST 2025","","Blog page","",""
"","4117","Open About Page & assert URL","","Wed Feb 26 11:46:50 CST 2025","passed","Wed Feb 26 11:46:54 CST 2025","","Home","",""
"","15662","Get title","","Wed Feb 26 11:46:44 CST 2025","passed","Wed Feb 26 11:47:00 CST 2025","","Home","",""
"","6472","Click get started botton & assert URL","","Wed Feb 26 12:54:58 CST 2025","passed","Wed Feb 26 12:55:05 CST 2025","","Home","",""
"","263","Assert the total count of rows","","Wed Feb 26 12:54:42 CST 2025","passed","Wed Feb 26 12:54:42 CST 2025","","Blog page","",""
"","292","Assert the text lenght of each list item > 10 characteres","","Wed Feb 26 11:29:11 CST 2025","passed","Wed Feb 26 11:29:12 CST 2025","","Blog page","",""
"","1155","Find heading element & assert the text","","Wed Feb 26 11:46:58 CST 2025","passed","Wed Feb 26 11:47:00 CST 2025","","Home","",""
"","1568","Find heading element & assert the text","","Wed Feb 26 12:55:19 CST 2025","passed","Wed Feb 26 12:55:20 CST 2025","","Home","",""
"","2141","Get the list of all Recent Post","","Wed Feb 26 12:54:30 CST 2025","passed","Wed Feb 26 12:54:32 CST 2025","","Blog page","",""
"","31995","Fill the form, submint & assert success message","","Wed Feb 26 12:54:56 CST 2025","passed","Wed Feb 26 12:55:28 CST 2025","","Fill form and submit","",""
